JobTitle,CompanyName,Location,Summary,Salary,PostedOn
"
            Junior Python Developer - Data Acquisition",CloudSek,"Bengaluru, Karnataka","Experience in building API endpoints in python. As a python developer in this team, you will be primarily working on development of data collection systems, and…",Not Disclosed,10 days ago
"
            Technical Lead Web Applications - Python / Django / React",dian-alfabet,Hyderabad,Expertise in Python based product development with hands-on experience in Django and/or Flask framework. Dian-Alfabet is an e-learning company that is bringing…,Not Disclosed,Not Mentioned
"
            Senior Software Engineer - Python/Django (Remote)",drchrono,Hyderabad,Experience writing production backend code in Python (preferably Django). Must have at least 3 years of professional experience developing in Python.,Not Disclosed,Not Mentioned
"
            Shopalyst Technologies - Backend Engineer - Python/NodeJs",Shopalyst Technologies Pvt Ltd,Hyderabad,"We are currently looking for people to join our Engineering Operations team where internet scale, reliability, security, high performance and self management…","₹4,00,000 - ₹8,00,000 a year",Not Mentioned
"
            Post Silicon Validation",Intel,Hyderabad,"Prior experience with IA-Core Assembly, C and/or C++ programming, Python. The Validation Architect (VA) will work as part of the newly-formed FVDG (Functional…",Not Disclosed,3 days ago
"
            Business Process Associate",NUKG Business Solutions,Hyderabad,Candidates with exposure to coding / scripting using Python as well as Sql Server may be considered as Business Systems Analysts.. You are a people person?.,Not Disclosed,Not Mentioned
"
            Technical Mentor",Digitage technologies,Hyderabad,"Knowledge of python, full stack is a plus. As technical mentor, the person will be responsible to deliver and demonstrate various technical topics and help the…","₹15,000 - ₹20,000 a month",3 hours ago
"
            Software Intern (Python) Internship",Akili Systems Private Limited,"Delhi, Delhi","Business Software Development, Customization, Implementation. Collecting and understanding of the client requirement i.e Gap Analysis.",Not Disclosed,3 days ago
"
Python Developer",The Developers,"Chennai, Tamil Nadu",Candidate should have knowledge in Medical Robotics. Ability to Work in Harmony with Co-Workers.,"₹20,000 - ₹35,000 a month",20 days ago
"
            Data Analytics - SQL Python Internship",ALLSPARK HEALTH LABS,"Bengaluru, Karnataka",AllSpark Labs helps enterprise organizations to automate the operations better using artificial intelligence technology and machine learning.,"₹12,000 a month",5 days ago
"
Python Developer",Quality Council Of India,"New Delhi, Delhi","Python , Linux, Amazon Web Services (AWS) and Blockchain. Write reusable, testable and efficient codes. Implementation of security and data protection.","₹55,000 - ₹67,000 a month",7 days ago
"
PYTHON/ODOO INTERN",Technaureus Info Solutions,Kerala,"Create Python and Odoo(OpenERP) framework of existing apps. Basic Understanding of Python, Oops Concepts Self Motivated and a willingness to learn.",Not Disclosed,30+ days ago
"
Python Developer",Young Minds Technology Solutions Pvt Ltd.,Tamil Nadu,"Python Developer Jobs In Posted On 19th August 2019Company Name: Python Developer duties and responsibilitiesWrite reusable, testable, and efficient codeDesign…","₹1,00,000 - ₹3,00,000 a year",20 days ago
"
Python Development (Text Analytics) Internship",Drive Analytics,"Chennai, Tamil Nadu",Develop solutions in the domain of Text Analytics using Python 2. We are a text and computer vision applications focused startup building some cutting-edge…,"₹15,000 - ₹20,000 a month",1 day ago
"
Python Scripting-Developer",Wipro LTD,"Bengaluru, Karnataka","Python Scripting Manual Testing, Coding Standards, Development. N Python Scripting-L3, (Mandatory) and Apache Spark-L3, (Optional).As a Senior Developer, you…",Not Disclosed,2 days ago
"
Python Developer",Agrometrics,"Hyderabad, Telangana","Familiar with any Framework in Python like Django, Flask. Should be excellent in building API's, interacting with databases. MySQL or any relational database.",Not Disclosed,12 days ago
"
            Full Stack Web Developer - Python",Aodh,"Hyderabad, Telangana","Expert in Python, with knowledge of at least one Python web framework (Django, Flask, etc). Familiarity with event-driven programming in Python.",Not Disclosed,5 days ago
"
            Technical Lead Web Applications - Python / Django / React",dian-alfabet,Hyderabad,Expertise in Python based product development with hands-on experience in Django and/or Flask framework. Dian-Alfabet is an e-learning company that is bringing…,Not Disclosed,Not Mentioned
"
            Backend Python/Scala",PatientMD,Hyderabad,"Scala, Python or other related languages. Backend = Python, Scala / Akka, Java, C; We are looking for backend engineers with a passion for building highly…",Not Disclosed,Not Mentioned
"
            Shopalyst Technologies - Backend Engineer - Python/NodeJs",Shopalyst Technologies Pvt Ltd,Hyderabad,"We are currently looking for people to join our Engineering Operations team where internet scale, reliability, security, high performance and self management…","₹4,00,000 - ₹8,00,000 a year",Not Mentioned
